overall,vote,verified,reviewTime,asin,style,reviewText,summary,unixReviewTime,image,EMAIL
5.0,,True,"12 26, 2013",106171327X,,"I'm using this in my Samsung Galaxy Tablet.  Works like a champ, provides more than enough storage and is easy to access.",Excellent Product,1388016000,,Comer@hotmail.com
5.0,,True,"05 3, 2013",B0040671WU,,"Small and compact, works extremely well.  I recommend this card reader anyone that needs to have a card reader when traveling.",Excellent Device,1367539200,,Comer@hotmail.com
5.0,,True,"12 1, 2016",B004OVECU0,,Works nicely with TV and Roku,EXCELLENT PRODUCT,1480550400,,Comer@hotmail.com
3.0,,True,"08 30, 2013",B00001P4ZH,{'Color:': ' Black/Silver'},"The wiring is kinda cheap to be honest, I use the porta-pros while I'm exercising and PC gaming but unfortunately I've already ran through two of these because the wiring keeps getting slightly pulled on during light cardio runs.

My first pair lasted almost 2 years and my second only last about 6 months before the wiring gave out and I had to start maneuvering and taping down the wire at that certain spot where the sound wouldn't give out. I ended up buying studio headphones for my third pair, which are more solidly constructed and have really thick wiring that doesn't let the inside wires get bent out of shape.","Really good heaphones and I would order again, however...",1377820800,,BigBoss@hotmail.com
4.0,,True,"08 30, 2013",B002B3YCQM,{'Package Type:': ' Standard Packaging'},"A very decent mouse, I use it for my gaming PC as an alternative to those highly sensitive Razor ones- gets the job done and so far, has given me absolutely no problems.",It's withstood the test of time,1377820800,,BigBoss@hotmail.com
5.0,,False,"12 12, 2017",B000023VW2,,everything Sangean is great!,Five Stars,1513036800,,jeffkenkel@hotmail.com
5.0,2,True,"01 13, 2011",B00002EQCW,,"With the purchase of a new Internet ready, 3D TV, we needed to extend our network to our rec room.  While our wireless can reach there, we wanted the solid performance and security of a hardwired connection to both the TV and the Blu-Ray player.  Our house is already wired for network so it was as easy as patching from the router to one of these switches in the rec room and then plug the TV and Blu-Ray in.  Now we're streaming movies, music and Blu-Ray content with no hiccups and a painless installation!  Top it off with us purchasing it at a low price along with a $10 rebate and this couldn't be beat.",Working Perfectly For Our Needs,1294876800,,RobReinhardt@rediffmail.com
5.0,,True,"04 24, 2016",B00002EQCS,"{'Capacity:': ' 08 Port', 'Model:': ' Metal'}",Great product and service.,Five Stars,1461456000,,CarlMckoy@rediffmail.com
5.0,,True,"10 3, 2016",B0007UQNTU,,Great binoculars.  I can see a gnats ass from 1000 feet away.,Great binoculars. I can see a gnats ass from ...,1475452800,,CarlMckoy@rediffmail.com
5.0,,True,"10 14, 2014",B0027C8M8G,,Works great!,Five Stars,1413244800,,CarlMckoy@rediffmail.com
3.0,,True,"07 17, 2016",B007JPOX8O,{'Color:': ' A DTA240'},I am to far away from a TV station (40 miles) for this antenna to work well.,Three Stars,1468713600,,CarlMckoy@rediffmail.com
5.0,,True,"02 7, 2010",B00004SABB,"{'Size:': ' 10x32', 'Color:': ' Black'}",great product - and at this price - truly an amazing buy!  you can't go wrong here.,Pintsize Powerhouse,1265500800,,ElizabethBentson@hotmail.com
5.0,2,True,"08 14, 2012",B0006BB9MG,"{'Size:': ' 8 x 1/2-Inch, 25 Count', 'Color:': ' Black', 'Style:': ' 25 ct. - One Wrap Thin'}",Why didn't I know this was even available?  DUH!  I've been using bread-bag twist-ties to corral my cords and wires.  I've also used string or tape if nothing else was around.  Now I find these!  WHAT a great little invention!  They are easily used (and removed - or moved) - they're attractive - blend in well (since most cords are black too).  Thanks for these!!,Whodathunk,1344902400,,ElizabethBentson@hotmail.com
5.0,,True,"08 9, 2014",B00004VXNF,{'Style:': ' PRO510XL'},Works great,Five Stars,1407542400,,JesusGarcia@rediffmail.com
5.0,,True,"04 7, 2016",B000UTQUAK,,the best,Five Stars,1459987200,,JesusGarcia@rediffmail.com
3.0,,True,"04 7, 2016",B001JT0CGI,{'Length:': ' 18 Foot'},Cheap Cheap Cheap,Three Stars,1459987200,,JesusGarcia@rediffmail.com
4.0,,True,"04 7, 2016",B005LFT3QG,"{'Size:': ' 32 GB', 'Package Type:': ' Standard Packaging'}",Expensive but works,Four Stars,1459987200,,JesusGarcia@rediffmail.com
5.0,,True,"01 8, 2018",B00004ZCJJ,,Works fine.,Five Stars,1515369600,,Shoemaker@hotmail.com
5.0,,True,"01 8, 2018",B00009KLAE,,Works fine.,Five Stars,1515369600,,Shoemaker@hotmail.com
5.0,,True,"09 4, 2016",B00004ZCJJ,,Good value.,Five Stars,1472947200,,VetteluvrJames@rediffmail.com
5.0,,True,"09 4, 2016",B00009KLAE,,Good value.,Five Stars,1472947200,,VetteluvrJames@rediffmail.com
5.0,,True,"07 13, 2014",B00004ZCJJ,,just what I needed,Five Stars,1405209600,,GeorgeDefeo@hotmail.com
5.0,,True,"07 13, 2014",B00009KLAE,,just what I needed,Five Stars,1405209600,,GeorgeDefeo@hotmail.com
5.0,,True,"05 9, 2016",B001W26TIW,,Just the thing I needed,Five Stars,1462752000,,GeorgeDefeo@hotmail.com
5.0,,True,"10 26, 2015",B0058I7CVE,,Great,Five Stars,1445817600,,GeorgeDefeo@hotmail.com
5.0,,True,"03 27, 2013",B00004ZCJJ,,"Good quality and value.  I have purchased many tiffen filters, they are always good quality, value and performance. A +",Tiffen always delivers,1364342400,,JohnBaker@outlook.com
5.0,,True,"03 27, 2013",B00009KLAE,,"Good quality and value.  I have purchased many tiffen filters, they are always good quality, value and performance. A +",Tiffen always delivers,1364342400,,JohnBaker@outlook.com
5.0,,False,"04 28, 2010",B00004ZCJJ,,The product was received in a timely manner and was as advertised. I am satisfied.,Product was as advertised.,1272412800,,RaymondDondzila@outlook.com
5.0,,False,"04 28, 2010",B00009KLAE,,The product was received in a timely manner and was as advertised. I am satisfied.,Product was as advertised.,1272412800,,RaymondDondzila@outlook.com
5.0,,True,"01 9, 2015",B00005NPPQ,"{'Color:': ' White', 'Style:': ' Old Packaging'}","So much fun, old school look",Five Stars,1420761600,,sharon@gmail.com
1.0,,True,"02 14, 2016",B000067SOH,"{'Size:': ' QTY 1', 'Color:': ' Black'}",It didn't work for me.  I used this to connect a VGA KVM cable to a DVI port on a docking station.  The monitor could not detect a signal.,Didn't work for me.,1455408000,,Swinney@hotmail.com
3.0,,True,"03 9, 2012",B000F7857S,{'Package Type:': ' Standard Packaging'},"What can I say?  It broke within minutes of its first use.  The mount unit ripped itself out of the suction cup, which was left stuck to the windshield.  Going to have to just get another one and try my luck.  Can't really use the GPS without one.

UPDATE:  I did replace the unit via Amazon returns, and have been using it for some months now.  I guess the first one was a lemon.",Broke on first use.,1331251200,,Swinney@hotmail.com
5.0,,True,"09 3, 2015",B00007EDM8,"{'Color:': ' White', 'Product Packaging:': ' Standard Packaging'}",Love these kinds of headphones.,Five Stars,1441238400,,JosiejoLePage@rediffmail.com
4.0,,True,"12 6, 2013",B00007EDM8,"{'Color:': ' Blue', 'Product Packaging:': ' Standard Packaging'}","Good workout headphones for the price. Yeah, they eventually fail, but I haven't encountered any which haven't eventually failed due to sweat, etc. And for the price, just replace them.

The sound quality is good, though not amazing...it's good enough for when you're jogging around town or on the treadmill, in the gym, etc. If I wanted good sound quality, I wouldn't get earbuds, and certainly, anytime you are sweating into the speakers, the sound quality degrades. So it is what it is.

I also like how, if your ears get tired from having something in them, because of the hooks and the half-in-ear design, you can just take them out of the ear but leave them on, and turn up the volume a bit...so it's like having a speaker near your ear, rather than rubbing up inside it.

I've bought a few of these in the past 10 years or so. Also have many other headphones, but ultimately I think I like these best for working out.

Again, if you want these for normal use, there are better quality ones out there. If you want them for working out, they do the trick...they will all fail eventually.","Great for the money,",1386288000,,MichaelGoodman@rediffmail.com
5.0,,True,"07 9, 2012",B00009XVCZ,{'Style:': ' Lens Only'},"I purchased this lens just before a recent trip. I wanted a lens that was good in low-light. Wow - is it GREAT in low-light. I was able to take many great photos that I never could before. The negative of this lens is that I don't have a full-frame sensor in my camera... thus, it is more ""zoomed"" in than I wish. Frequently, I can't get far enough away from the items I am shooting to be able to use this lens. However, I am really glad I have it, and probably used it for 5% of the photos on my trip. The photos are REALLY beautiful. My next purchase will either be a full frame camera or the Canon 24mm f/1.4 L series Wide Angle Lens -&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Canon-EF-24mm-f-1-4-L-USM-II-Wide-Angle-Lens/dp/B001GNCWCE/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Canon EF 24mm f/1.4 L USM II Wide Angle Lens</a>.",It really is great - would be exceptional with a full frame camera,1341792000,,MatthewCohn@gmail.com
1.0,,True,"04 29, 2016",B0000BVYT3,"{'Capacity:': ' 08 Port', 'Model:': ' Pro | L2+ Managed'}","Worst product on the market, terrible customer support. Cannot get to work after 2 weeks of frustration. DO NOY BUY. Switch to Linksys.",Worst product on the market,1461888000,,SafdarAli@rediffmail.com
5.0,,True,"02 4, 2014",B0000BYDKO,{'Size:': ' PACK'},bought this to keep my 100ft cord while using snowblower. works great. we used the fold cord in half and zip tie to the reel method; works great! good buy.,makes cord control easier.,1391472000,,ShannonCioch@hotmail.com
5.0,,True,"03 2, 2009",B000GVTX6U,,"I bought this one for my Dad, he needed a router that would last; his Linksys died very quickly. My boyfriend has owned one of these for three years,it works great and we have had absolutely no troubles at all. I think once we had an issue, and it may have been modem not router, all we did was reset everything by powering down and powering back up, no problem. Excellent quality!!",Have owned one of these for 3 years....,1235952000,,ShannonCioch@hotmail.com
5.0,,True,"03 2, 2014",B00020S7XK,,"I've just received this radio. I love it! So much, that I ordered another three! Instead of recomending, I'd rather give them! Enrique Rovero.",Beautiful!,1393718400,,EnriqueRovero@outlook.com
2.0,,True,"03 2, 2014",B005IDTH76,,"Contains a lot of features..... but not reliable; had problem with the key and returned it! Refunded immediately, though! Enrique.",Not reliable...,1393718400,,EnriqueRovero@outlook.com
5.0,,True,"12 29, 2012",B00020S7XK,,"i have had a Sony Transistor Radio in my home for the last 30 some years.  In a power failure this item is vital!  During the last power failure of Hurricane Sandy, some of my girlfriends had no power and no radio so for Christmas, they got this Sony radio.  It's a Sony so the signal was powerful, the music and news was clear and the look is modern.  They loved this gift.  My Sony is still going!",i hear the news,1356739200,,BOOKMAVEN@hotmail.com
