reviewerName,reviewerID,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,STATE,PHONE,ISBUSINESS,BUSINESS_CATEGORIES,MARITAL_STATUS,ISFEMALE,AGE,EMAIL
Enrique Rovero,A3JA635Y85UI9P,-74.2490967,40.4249439,2,Porsche Drive,,MATAWAN,,,07747,{6B5DA039-D1BB-4C3C-88B8-2CF8628BAF93},ffaec7fcc9203216,NEW JERSEY,2459737201,False,,True,True,42.0,EnriqueRovero@outlook.com
Leon Eggleston,A1DLW0YF2Q1BNC,-74.323404,40.6143537,53,Thomas Drive,,CLARK,,,07066,{1FEDE2A6-5485-4794-9ED7-69166BBE3994},da240659d6b9a285,NEW JERSEY,8839531973,False,,False,True,55.0,LeonEggleston@rediffmail.com
George Defeo,AVHV2705NHHWU,-74.8731615,40.0345257,15,Hudson Place,,WILLINGBORO,,,08046,{362985A4-BDA0-421B-A63F-1B37EC93D2A0},5097ace16901a352,NEW JERSEY,8070785862,True,Industrial Automation Systems Providers,,,,GeorgeDefeo@hotmail.com
Anthony Benallie,AG2JSGHHWIL4J,-74.3586907,40.5371729,239 B,Amboy Avenue,,METUCHEN,,,08840,{D15F7835-8DC0-4B1E-93FF-0D108DC154AA},4226ca14cb98f4d7,NEW JERSEY,4146869640,False,,False,False,40.0,AnthonyBenallie@outlook.com
Nick Mankey,A11RIA4WXV7USS,-74.163925,39.9352719,420,Henley Avenue,,PINE BEACH,,,08741,{55C15BD1-5887-46EB-B1C5-8202D7D527E5},b5c930bf295adbc8,NEW JERSEY,9961619908,False,,False,True,33.0,NickMankey@rediffmail.com
Myra,A1NMW2UWGNR0HT,-74.2077615,40.8742753,146,Long Hill Road,,LITTLE FALLS,,,07424,{8223339F-64A4-4D14-AAA6-C1DD7DB5D7B7},004fbc9ef7107228,NEW JERSEY,5729610848,False,,False,True,42.0,Myra@outlook.com
Robert Rios,A2IJUWRWHVBDNY,-74.4117472,40.705602,67,Holmes Oval North,,NEW PROVIDENCE,,,07974,{6EB0375C-033D-46BC-85FC-2DBAEA7FAA91},9785a7c1d8d29da6,NEW JERSEY,8955160862,False,,True,False,32.0,RobertRios@rediffmail.com
Josiejo LePage,AWLOGXHSYE1Q1,-74.1604475,40.8197242,10,Hillside Avenue,UNIT C0102,NUTLEY,,,07110,{7C3D86DD-49F3-47C2-9189-F95FECE49725},bd1282bfb55691e6,NEW JERSEY,8949016862,False,,True,False,29.0,JosiejoLePage@rediffmail.com
Big Boss,A1NUZKIU265H9K,-73.9916368,40.8162173,218,Cliff Street,,CLIFFSIDE PARK,,,07010,{607BA957-E58A-4879-A5DC-5E949D5060CA},7b579d68ad1bd442,NEW JERSEY,2737343551,False,,False,True,33.0,BigBoss@hotmail.com
Shannon Cioch,A1JKRQPQ1TAZ77,-74.6888864,40.2430053,50,Sherwood Avenue,,TRENTON,,,08619,{978F4C55-522B-4335-B953-8D76237983A5},42479df73f768669,NEW JERSEY,6706404908,False,,True,True,38.0,ShannonCioch@hotmail.com
